DIAGNOSIS,PATHOLOGY GEATURES,Similar Disease 1,Similar Disease 2,Similar Disease 3,Similar Disease 4
Tendinous Xanthoma,"Predominantly interstitial infiltrate of foam cells in dermis arranged as small clusters or large nodules. Sparse admixed lymphocytes, neutrophils and eosinophils. Increased fibroblasts in older lesions.",Tuberous Xanthoma,Eruptive Xanthoma,Xanthelesma,Xanthogranuloma
Xanthelasma,Small aggregates of foam cells in upper dermis. Sparse to none admixed lymphocytes.,Eruptive Xanthoma,Xanthogranuloma,Lipidized Dermatofibroma,
Tuberous Xanthoma,"Predominantly interstitial infiltrate of foam cells in dermis arranged as small clusters or large nodules. Sparse admixed lymphocytes, neutrophils and eosinophils. Increased fibroblasts in older lesions.",Tendinous Xanthoma,Granuloma Annulare,Eruptive Xanthoma,
Pemphigus Foliaceus,"Subcorneal vesicles and split with acantholyis in granular layer. Perivascular lymphocytes and eosinophils. Direct DIF-netlike pattern with IgG and C3, more intense in superficial dermis.",Paraneoplastic Pemphigus ,IgA Pemphigus,Bullous Impetigo,Stapylococcal Scalded Skin Syndrome
Pemphigus Erythematosus,"Facial involvement. Subcorneal vesicles and split with acantholyis. Perivascular lymphocytes and eosinophils. Direct DIF-netlike pattern with IgG and C3, more intense in superficial dermis. IgG and C3 along BMZ.",Pemphigus Folaceus,Bullous Impetigo,Stapylococcal Scalded Skin Syndrome,
Hereditary Hemorrhagic Telangiectasia,Dilated thin walled vessels are seen in dermis lined by flat endothelial cells close to epidermis or epithelium.The dilated vessels have been shown to be characteristic of postcapillary venules on ultrastructural examination.  ,Hereditary Hemorrhagic Telangiectasia,Ataxia Telangiectasia,Unilateral Nevoid Telangiectasia,Generalized Essential Telangiectasia
Ataxia Telangiectasia,Dilated thin walled vessels of superficial venous plexus lined by flat endothelial cells.  One side of loop is dilated.,Hereditary Hemorrhagic Telangiectasia,Unilateral Nevoid Telangiectasia,Hereditary Benign Telangiectasia,Generalized Essential Telangiectasia
Lipoid Proteinosis,"Homogenous, pink, hyaline deposits throughout dermis. Deposits tend to be perpendicular to epidermis and concentrated around blood vessels and adnexal structures. Deposits positive with PAS with and without diastase. Amyloid stains weakly positive or negative.",Waldenstorm Macroglobulinemia,Macular Amyloidosis,Adult Colloid Milium,Erythropoietic Protoporphyria
Cutis Laxa,"Normal appearing skin on H &E. Decreased, thinned, degenerated elastic fibers. Lymphocytes, multinucleated giant cells rarely in dermis.",Anetoderma,Granulomatous Slack Skin,Pseudoxanthoma Elasticum,Ehlers-Danlos Syndrome
Nevus Sebaceus,"Hyperkeratosis, acanthosis, papillary epidermal hyperplasia. Abortive hair follicles with sebaceous glands opening directly into epidermis. Dilated ectopic apocrine glands in dermis.",Sebaceous Hyperplasia,Epidermal Nevus,Sebaceous Adenoma,Verruca Vulgaris
Erythrasma,"Filamentous Gram-positive rods in stratum corneum, also seen on H&E. Minimal inflammation.",Dermatophytosis,Candidosis,Allergic Contact Dermatitis,
X-Linked Ichthyosis,"Mild to moderate compact hyperkeratosis. Normal to thickened granular  layer; rarely diminished. Mild to moderate acanthosis, prominent rete ridges. Mild to subtle superficial perivascular lymphocytic infiltrate.",Ichthyosis Vulgaris,Lamellar Ichthyosis,Bullous Congenital Ichthyosiform Erythroderma,
Perineurioma,"Well circumscribed lesion in dermis and subcutis composed of bland, short spindle cells in fascicles or whorling pattern. Hyalinization of stroma may be noted. Sclerosing variant-clusters, cords or concentric arrangement of small cuboidal epithelioid appearing cells in dense collagen background. Strongly positive for EMA.",Schwannoma,Neurofibroma,Dermatofibroma,Sclerotic Fibroma
Ehlers-Danlos Syndrome,Normal appearing skin in most cases. Subtle thinning of collagen bundles with mild increase of elastic fibers. Dermal atrophy in some cases.,Connective Tissue Nevus,Cutis Laxa,Progeria,
Candidosis,"Subcorneal pustules with mild to moderate dermal infiltrate, predominantly neutrophils. Pseudohyphae in stratum corneum, often vertically oriented.",Dermatophytosis,Tinea Versicolor,Bullous Impetigo,Pustular Psoriasis
Embryonal Rhabdomyosarcoma,Pleomorphic tumor composed of cells with round to oval nuclei and scant cytoplasm admixed with spindle or strap cells. Some of the strap cells show eosinophilic cytoplasm and cross-striations. Multinucleated tumor cells variably present.,Ewing Sarcoma-Primitive Neuroectodermal Tumor,Angiosarcoma,Neuroblastoma,Granular Cell Tumor
Malignant Fibrous Histiocytoma,"Highly cellular pleomorphic spindle cell proliferation in storiform arrangement with polygonal cells showing markedly atypical nuclei. Numerous mitotic figures, some with bizarre configuration. Admixed xanthoma cells and chronic inflammation.",Atypical Fibroxanthoma,Fibrosarcoma,Spindle Cell Melanoma,Leiomyosarcoma
Myxoinflammatory Fibroblastic Sarcoma,"Multinodular proliferation within dermis and subcutis. Sheets of spindled to round epithelioid cells in hyalinized and myxoid stroma. Scattered Reed-Sternberg like  cells or virocyte like cells, rare to no mitotic figures. Dense mixed inflammatory infiltrate.",Cutaneous Involvement In Hodgkin's Disease,Malignat Fibrous Histiocytoma,Malignant Peripheral Nerve Sheath Tumor,
Synovial Sarcoma,"Biphasic or monophasic tumor. Interdigitating fascicles of spindled cells (school of fish) and well formed glandular epithelial structures or solid cords or nests of epithelial cells. Spindle cells are densely packed in a myxoid to collagenous stroma. Focal S100, EMA and keratin positivity. ",Fibrosarcoma,Malignant Peripheral Nerve Sheath Tumor,Leiomyosarcoma,
Dego's Disease,"Epidermal atrophy with hyperkeratosis. Wedge shaped zone of dermal infarction, the apex of which extends into deep dermis. Infarcted area is relatively acellular and appears pale in contrast to surrounding dermis. Colloidal iron highlights increased mucin in infarcted area. Deep to infarct, vessels show vasculopathic changes with endothelial cell proliferation and thrombi. Surrounding dermal vessels show perivascular infiltrate.",Lupus Erythematosus,Mixed Cryoglobulinemia,Pityriasis Lichenoides Et Varioliformis Acuta,Focal Cutaneous Mucinosis
Paraneoplastic Pemphigus,"Mucocutaneous eruption. Epidermal suprabasal acantholysis and lichenoid interface changes, either singly or in combination. DIF-Epidermal and basement membrane deposition of IgG and C3.",Pemphigu Vulgaris,Erythema Multiforme,Lichen Planus Pemphigoides,
Dermatomyositis,Atrophic dermis with flattened rete ridges.  Vacuolar interface dermatitis with thickened basement membrane and pigment incontinence. Telangiectatic vessels.  Sparse to moderate perivascular and periadnexal infiltrate in dermis. Increased mucin.  May have acanthosis on scalp.,Lupus Erythematosus,Drug Eruption,Mixed Connective Tissue Disease,Tumid Lupus
Progressive Macular Hypomelanosis,Decreased melanin pigment within epidermis. Normal number of melanocytes.,Pityriasis Alba,Tinea Versicolor,Post Inflammatory Pigment Alteration,
Dermatitis Herpetiformis,"Subepidermal blister containing predominantly neutrophils with rare eosinophils. Neutrophilic microabscesses in dermal papillae. DIF-granular IgA deposition in dermal papillae, with/without linear deposits of IgA at BMZ.",Linear IgA Bullous Dermatosis,Bullous Pemphigoid,Bullous Drug Eruption,Bullous Lupus Erythematosus
Trichothiodystrophy,"Focally flattened, ribbon like hairs. Alternating light and dark bands on polarized light (tiger tail).",Netherton Syndrome,Congenital Ichthyosiform Erythroderma,Pili Trianguli Et Canaliculi,
Vellus Hair Cyst,Epidermal inclusion cyst with many small vellus hairs within cyst.,Steacystocystoma,Epidermal Inclusion Cyst,Pilar Cyst,Milium
Mongolian Spot,Hypocelluar spindled or slightly wavy dendritic cells in lower half or lower two-thirds of dermis with melanin granules.,Nevus Of Ito,Nevus Of Ota,Blue Nevus,
Elastoma,"Increased thick branching elastic fibers in  mid to deep dermis, best seen with the VVG stain.",Collagenoma,Connective Tissue Nevus,Elastofibroma,
Alveolar Rhabdomyosarcoma,"Poorly differentiated round to oval basophilic  cells with minimal cytoplasm in nests separated by fibrous septa. Cells poorly cohesive in center of tumor aggregates, leading to cells appearing to line a hollow space producing an alveolar pattern.",Ewing Sarcoma-Primitive Neuroectodermal Tumor,Angiosarcoma,"Diffuse Large Cell B Cell Lymphoma, Leg Type",
Low-Grade Fibromyxoid Sarcoma,Alternating densely fibrous and myxoid areas. Transition from fibrous to myxoid zones may be gradual or abrupt with distinct myxoid nodules. Myxoid zones show a prominent curvilinear vascular pattern. Spindle cells lack significant pleomorphism. Low mitotic activity.,Myxofibrosarcoma,Neurofibroma,Fibrosarcoma,
Hyalinizing Spindle Cell Tumor With Giant Rosettes,Giant cell rosettes formed by epithelioid fibroblasts with a core of densely hyalinized collagen. Background of low grade fibromyxoid sarcoma.,Myxofibrosarcoma,Nodular Fasciitis,Spindle Cell Melanoma,
Genital Leiomyoma,"Intradermal proliferation in dermis separated by grenz zone. Interlacing fascicles of smooth muscles with cigar-shaped nuclei and ample eosinophilic cytoplasm. Do not demonstrate follicular orientation. No significant atypia, mitosis.",Dermatofibroma,Neurofibroma,Nodular Fasciitis,
Epidermodysplasia Verruciformis,Epidermal acanthosis and parakeratosis. Steel-grey cytoplasm of keratinocytes. Cytological atpyia may be present within the keratinocytes.,Verruca Plana,Seborrheic Keratosis,Bowen's Disease,
Monilethrix,Evenly spaced elliptical nodes within hair shaft. Segment between nodes are non-medullated tapered constrictions.,Trichorrhexis Nodosa,Bubble Hair,Trichothiodystrophy,
Cafe-Au-Lait Spots,Basilar layer pigmentation with macromelanosomes in basilar keratinocytes. No elongation of rete ridges.,Melanotic Macule,Freckle,Melasma,
Spiradenoma,Blue balls in the dermis. Basaloid nests within the dermis with two types of cells-one with dark nuclei and another with pale nuclei. Scattered and admixed lymphocytes. Deeply eosinophilic basement membrane material may be present within the nodules. Fibrovascular stroma sometimes strikingly occupied by dilated vascular channels.,Cylindroma,Nodular Basal Cell Carcinoma,Hidradenoma,Dermal Duct Tumor
Branchial Cleft Cyst,Cyst with lining of either pseudostratified columnar epithelium with or without cilia or squamous epithelium with granular layer. Lymphoid follicles in wall.,Bronchogenic Cyst,Thymic Cyst,Epidermal Inclusion Cyst,
Other Porphyrias,Perivascular deposits of hyaline material. PAS positive. Sub epidermal cell poor blister in Porphyria Variagata and Hereditary Coproporphyria.,Pseudoporphyria,Epidermolysis Bullous Acquisita,Bullous Diabeticorum,
Dermoid Cyst,Cyst with adnexal structures in wall.,Epidermal Inclusion Cyst,Steatocystoma,Vellus Hair Cyst,
Ichthyosis Bullosa Of Siemens,"Orthokeratotic hyperkeratosis overlying an acanthotic epidermis. Vacuolization of granular cell layer, leading sometimes to superficial intraepidermal separation.",Nonbullous Congenital Ichthyosiform Erythroderma,Lamellar Ichthyosis,Epidermolysis Bullosa,
Glomus Tumor,"Solid, well circumscribed nodular proliferation of small monotonous cells with round central nucleus and eosinophilic cytoplasm around dilated blood vessels; no atpyia. Cell positive for smooth muscle actin.",Hidradenoma,Intradermal Nevus,Solitary Mastocytosis,Angioleiomyoma
Verrucous Hemangioma,"Dilated vessels in dermis and/or subcutis with cavernous like in the upper dermis and capillary like in the subcutis. Thrombosis within large dilated vessels. Overlying epidermis may show prominent acanthosis, papillomatosis and hyperkeratosis.",Angiokeratoma,Accquired Progressive Lymphangioma,Microvenular Hemangioma,Sinusoidal Hemangioma
Cutaneous Myxoma,"Lobulated, well-defined mucin deposition in dermis and subcutis. Increased vascularity. 50% in cases of Carney complex.",Focal Cutaneous Mucinosis,Superficial Angiomyxoma,Myxoid Neurothekeoma,
Acrodermatitis Enteropathica,Psoriasiform dermatitis with pallor and ballooning degeneration of spinous layer. Loss of granular layer. Superficial perivascular mixed infiltrate.,Glucagonoma Syndrome,Pellagra,Necrolytic Acral Erythema,Psoriasis
Nuchal Fibroma,Poorly defined hypocellular infiltrative lesion. Sparse spindle/stellate fibroblasts in whorls of coarse collagen. Increased entrapped nerves.,Spindle Cell Lipoma,Solitary Fibrous Tumor,Elastofibroma,
Spindle Cell Hemangioma,Mainly centered in deep dermis and subcutis. Well circumscribed proliferation of cavernous blood vessels admixed with cellular spindle cell proliferation. Spindle cells show elongated dark nuclei and eosinophilic cytoplasm.,Kaposi Sarcoma,Angiosarcoma,Cavernous Hemangioma,Targetoid Hemosiderotic Hemangioma
Nevus Comediconus,Mild papillated epidermal hyperplasia with multiple epidermal invaginations into the dermis filled with compact and lamellated keratin. Associated granulomatous inflammation may be noted if comedones rupture.,Dilated Pore Of Winer,Trichofolliculoma,Epidermal Inclusion Cyst,Pilar Sheath Acanthoma
Glomeruloid Hemangioma,Proliferation of vessels in upper and mid dermis with tufts of proliferating coiled capillaries projecting within the walls of ectatic vessels mimicking renal glomeruli. Capillary loops forming the tufts are lined by plump endothelial cells.,Tufted Angioma,Intravascular Papillary Endothelial Hyperplasia,Cavernous Hemangioma,
Pili Torti,Flattened and twisted hairs along longitudinal axis.,Monilethrix,Trichorrhexis Nodosa,Trichoschisis,
Knuckle Pads,Prominent hyperkeratosis overlying epidermal acanthosis. Mild fibrosis of papillary dermis.,Prurigo Nodularis,Lichen Simplex Chronicus,Subacute-Chronic Eczematous Dermatitis,Scar
Sebaceoma,Nodular sebaceous and basaloid proliferation with predominance of basaloid cells (> 50%). Minimal cytologic atypia.,Sebaceous Adenoma,Sebaceous Carcinoma,Nodular Basal Cell Carcinma,
Sebaceous Adenoma,Nodular sebaceous and basaloid proliferation with predominance of sebaceous glands (> 50%). Minimal cytologic atypia.,Sebaceoma,Sebaceous Carcinoma,Nodular Basal Cell Carcinma,
Lichen Amyloidosis,"Hyperkeratosis, acanthosis, papillomatosis. Eosinophilic acellular globules in papillary dermis. Pigment outlining globules in papillary dermis. Globules stain with crystal violet, Congo red and PAS.",Post Inflammatory Pigment Alteration,Lipoid Proteinosis,Adult Colloid Milium,Waldenstorm Macroglobulinemia
Macular Amyloidosis,"Mild hyperkeratosis. Eosinophilic, acellular globules in dermal papillae, closely apposed to epidermis. Scattered melanophages in papillary dermis. Globules stain with crystal violet, Congo red and PAS.",Adult Colloid Milium,Waldenstorm Macroglobulinemia,Lipoid Proteinosis,Post Inflammatory Pigment Alteration
Microvenular Hemangioma,Mainly centered in reticular dermis. Poorly circumscribed proliferation of irregularly branching thin walled blood vessels lined by a single layer of endothelial cells and showing collapsed lumina.,Patch Stage Kaposi Sarcoma,Scar,Dermatofibroma,Stasis Dermatitis
Mantle Cell Lymphoma,"Diffuse monomorphic infiltrate of intermediated sized lymphocytes with irregular nuclei, frequent nucleoli. background population of plasma cells, histiocytes. Scattered epithelioid macrophages may produce a starry sky pattern. Hyalinized vessels common. CD20 +, CD5+, CD43+, bcl2 +, CD23-, Cyclin D1 +.",Burkitt Lymphoma,Blastoid Mantle Cell Lymphoma,NK-T Cell Lymphoma,
Palisaded Encapsulated Neuroma,Well circumscribed dermal nodule composed of wavy spindle cells in fascicles. Palisading of nuclei common.,Schwannoma,Neurofibroma,Pilar Leiomyoma,Traumatic Neuroma
Acrochordon,"Polypoid fragment with variable epidermal hyperplasia, fibrovascular core and adipose tissue; no adnexal structures.",Seborrheic Keratosis,Intradermal Nevus,Nevus Lipomatosus Superficialis,Fibrous Papule
Angioleiomyoma,"Well-circumscribed, subcutaneous or deep dermal nodule. Large interlacing bundles of plump spindle cells with ample eosinophilic cytoplasm, cigar-shaped nuclei and paranuclear vacuoles arranged around slit like or dilated blood vessels.",Pilar Leiomyoma,Myofibroma,Dermatofibroma,
Epidermal Inclusion Cyst,Cyst lined by squamous epithelium with granular layer. Contains lamellated keratin.,Trichilemmal Cyst,Follicular Hybrid Cyst,Verrucous Cyst,Keratoacanthoma
Trichilemmoma,"Endophytic proliferation of lobules of clear squamoid cells with peripheral palisading. Surrounded by thick, glassy eosinophilic basement membrane. Overlying focal hypergranulosis and hyperkeratosis.",Hidroacanthoma Simplex,Seborrheic Dermatitis,Verruca Vulgaris,
Infundibulocystic Basal Cell Carcinoma,"Pink strands, blue buds.  Small infundibular-like structures with central keratinous plugs and peripheral component of basaloid cells.",Trichoepithelioma,Adenoid Cystic Carcinoma,Digital Papillary Adenocarcinoma,
Trichoepithelioma,"Symmetrical, well circumscribed dermal proliferation with epithelial and stromal component. Epithelial component shows cords, solid aggregates of basaloid cells and keratocysts without clefting in a fibrotic stroma. Papillary mesenchymal bodies typically present.",Basal Cell Carcinoma,Basaloid Follicular Hamartoma,Syringoma,Syringoid Eccrine Carcinoma
Desmoplastic Trichoepithelioma,"Well demarcated, discrete dermal lesion. Narrow cords of compact epithelial cells and keratinous microcyst in a background of dense and collagenous sclerotic stroma.",Infiltrative Basal Cell Carcinoma,Microcystic Adnexal Carcinoma,Syringoma,
Schwannoma,Encapsulated lesion in dermis and/or subcutis. Cellular areas composed of closely packed spindle cells with tapered wavy nuclei and producing a palisading pattern(Antoni Type A areas). Intermixed less cellular areas showing scattered spindle cells in a loose myxoid background (Antoni type B areas). Blood vessels show hyalinized thick walls. ,Neurofibroma,Pilar Leiomyoma,Palisaded Encapsulated Neuroma,Spindle Cell Melanoma
Perifollicular Fibroma,Lamellar fibrosis around hair follicle. An artifactual cleft often separates the lesion from adjacent stroma.,Fibrofolliculoma,Trichofolliculoma,Pilar Sheath Acanthoma,Dilated Pore Of Winer
Trichodiscoma,Superficial ill-defined disc of hypocellular fibrovascular stroma that may have scattered nerve twigs. Follicular units at the periphery of disc. Mucin increased within the stroma of the disc.,Scar,Fibrofolliculoma,Fibrous Papule,
Steatocystoma,"Intradermal cyst lined by thin squamous epithelium. Compressed sebaceous glands in cyst wall. Wavy eosinophilic ""shark tooth"" crenulated cuticle.",Epidermoid Inclusion Cyst,Dermoid Cyst,Milium,Vellus Hair Cysts
Syringofibroadenoma,"Thin anastomosing cords of epithelium extending from epidermal surface within a fibrovascular stroma. Scattered ducts within the cords, often with a well formed cuticle. Squamous metaplasia common.",Poroma,Fibroepithelioma Of Pinkus,Superficial Basal Cell Carcinoma,
Fibrofolliculoma,Dome-shaped configuration with central distorted follicle and branching cords of epithelium penetrating a surrounding fibrous mantle.,Trichilemmal Cyst,Perifollicular Fibroma,Pilar Sheath Acanthoma,Dilated Pore Of Winer
Lipoma,Subcutaneous tumor composed of lobules of mature adipose tissue. Compressed pseudocapsule of fibrous tissue.,Nevus Lipomatosis Superficialis,Atypical Lipomatous Tumor,Lipofibroma,Well Differentiated Liposarcoma
Pilomatricoma,Multinodular tumor in dermis and/or subcutis composed of nests of basaloid nests resembling those of the hair matrix with abrupt transition to central shadow cells. Calcification and foreign body granulomatous response common. Numerous mitotic figures may be noted; never atypical.,Nodular Basal Carcinoma,Pilomatrix Carcinoma,Trichoblastoma,
