ID,Statement,Truth,Reference
30,"Ravana is traditionally depicted with ten heads, symbolizing his vast knowledge and pride.",TRUE,"Aranya Kanda, Chapter 35, Verse 13"
83,Ravana voluntarily returned Sita to Rama out of sudden remorse without any conflict.,FALSE,
80,Ravana was a demon (rakshasa) by birth.,FALSE,
84,Ravana was defeated without any battle or struggle in the Ramayana.,FALSE,
96,Ravana was undefeatable because he had a magical armor.,FALSE,
45,Ravana’s son Indrajit uses magical weapons in battle.,TRUE,"Yuddha Kanda, Chapter 37, Verse 34"
38,"Sage Agastya blessed Rama during his early adventures, guiding his journey.",TRUE,"Aranya Kanda, Chapter 11, Verse 1–29"
48,Shatrughna is Rama's youngest brother.,TRUE,"Bala Kanda, Chapter 14, Verse 6"
51,Shurpanakha tries to seduce Rama and Lakshmana but is disfigured by Lakshmana.,TRUE,"Aranya Kanda, Chapter 15, Verse 5"
31,"Sita accompanied Rama into exile, symbolizing her unwavering loyalty.",TRUE,"Ayodhya Kanda, Chapter 27, Verse 4"
97,Sita cursed Ravana to be reborn as a demon again.,FALSE,
85,Sita is described as having magical powers that allowed her to summon storms.,FALSE,
41,Sita is found by King Janaka while he is ploughing the field.,TRUE,"Bala Kanda, Chapter 19, Verse 16"
86,Sita is portrayed as a warrior who fought against Ravana on the battlefield.,FALSE,
87,Sita left Rama willingly to live in Lanka.,FALSE,
89,Sita was never abducted; she voluntarily went to Lanka.,FALSE,
90,Sita was the biological daughter of Ravana.,FALSE,
32,Sita’s abduction by Ravana led to the unification of various forces against the demon king.,TRUE,"Yuddha Kanda, Chapter 41–42"
91,Sugreeva defeats Bali in a fist fight.,FALSE,
33,"Sugreeva, the monkey king, became a trusted ally of Rama against the forces of Lanka.",TRUE,"Kishkindha Kanda, Chapter 5, Verse 11-12"
49,Sugriva becomes king of Kishkindha with Rama’s help.,TRUE,"Kishkindha Kanda, Chapter 26, Verse 15"
59,Sugriva was hesitant to trust Rama until Rama helped him defeat Vali.,TRUE,"Kishkindha Kanda, Chapter 10, Verse 17"
99,Sumantra was a warrior who fought bravely in Lanka’s army.,FALSE,
92,The monkey army in the Ramayana was led by Ravana himself.,FALSE,
52,The monkey warrior Nala was an architect who helped build the Rama Setu (bridge).,TRUE,"Yuddha Kanda, Chapter 27, Verse 22"
39,The vulture Sampati aided Hanuman by providing crucial information during his journey.,TRUE,"Kishkindha Kanda, Chapter 58"
56,Trijata comforts Sita during her captivity through prophetic dreams.,TRUE,"Sundara Kanda, Chapter 49, Verse 20"
44,Vali is killed by Rama from behind while fighting Sugriva.,TRUE,"Kishkindha Kanda, Chapter 22, Verse 14"
93,Valmiki composed the Ramayana while exiled on a deserted island with no guidance.,FALSE,
94,Valmiki was a warrior king who fought alongside Rama in battle.,FALSE,
77,Vibhisana was killed in the war between Rama and Ravana.,FALSE,
40,"Vibhishana, Ravana’s brother, defected to Rama’s side due to his commitment to righteousness.",TRUE,"Yuddha Kanda, Chapter 19, Verse 23"
